id,status,from,to,subject,cycle_or_level
EN_MATH_011,kept,MEPST_GUIDE_PE5_MATH.pdf#p.22,MEPST_GUIDE_PE5_MATH.pdf#p.22,mathématiques,3eme_HS
EN_SCI_012,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.13,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.13,sciences,1ere_HS
FR2_MATH_001,kept,MEPST_GUIDE_PE4_MATH.pdf#p.6,MEPST_GUIDE_PE4_MATH.pdf#p.6,mathématiques,"2eme_PR,2e_PR,2eme,2e"
LN2_MATH_002,kept,MEPST_GUIDE_PE4_MATH.pdf#p.8,MEPST_GUIDE_PE4_MATH.pdf#p.8,mathématiques,"2eme_PR,2e_PR,2eme,2e"
KK2_FR_003,kept,Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf#p.4,Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf#p.4,français,"2eme_PR,2e_PR,2eme,2e"
SW2_FR_004,kept,Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf#p.7,Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf#p.7,français,"2eme_PR,2e_PR,2eme,2e"
TSH2_MATH_005,kept,MEPST_GUIDE_PE4_MATH.pdf#p.10,MEPST_GUIDE_PE4_MATH.pdf#p.10,mathématiques,"2eme_PR,2e_PR,2eme,2e"
EN2_FR_006,kept,Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf#p.5,Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf#p.5,français,"2eme_PR,2e_PR,2eme,2e"
FR3_MATH_007,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.9,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.9,mathématiques,"3eme_PR,3e_PR,3eme,3e"
LN3_MATH_008,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.12,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.12,mathématiques,"3eme_PR,3e_PR,3eme,3e"
KK3_FR_009,kept,Cahier-de-leleve-_-3e-Annee-Francais.pdf#p.6,Cahier-de-leleve-_-3e-Annee-Francais.pdf#p.6,français,"3eme_PR,3e_PR,3eme,3e"
SW3_FR_010,kept,Cahier-de-leleve-_-3e-Annee-Francais.pdf#p.7,Cahier-de-leleve-_-3e-Annee-Francais.pdf#p.7,français,"3eme_PR,3e_PR,3eme,3e"
